time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(%);memory-usage-total(%);disk-io-utilization(B/s)
1591807554807;43.1;61.0;206434304;77.3;33304850.74
1591807556712;27.95;46.7;209281024;77.3;2006987.43
1591807558429;33.6;59.8;209580032;77.4;5776286.69
1591807560204;39.3;57.1;199032832;77.2;2066535.48
1591807562346;39.625;59.7;199507968;77.3;1668482.31
1591807564171;30.775;48.6;199790592;77.2;1224310.02
1591807565959;40.525;58.0;200577024;77.3;33582669.07
1591807567778;30.225;49.2;202338304;77.3;2001368.77
1591807569507;37.95;57.0;199413760;77.3;10183431.41
1591807571314;28.15;46.2;199598080;77.4;2290245.17
1591807573095;40.0;58.5;200302592;77.4;54893396.53
1591807574880;30.225;52.1;200953856;77.3;3864490.8
1591807576668;41.675;58.2;192495616;77.2;21236096.33
1591807578724;35.1;53.2;193003520;77.2;15408797.51
1591807580553;29.35;46.5;194465792;77.2;22737810.98
1591807582344;31.2;49.9;194871296;77.3;12494435.84
1591807584136;31.8;48.7;198705152;77.2;2412440.26
1591807585939;31.725;54.1;196329472;77.2;1203594.88
1591807587764;34.35;55.2;196755456;77.4;2197260.4
1591807589570;38.25;59.1;197349376;77.4;83701501.51
1591807591430;26.3;45.5;197730304;77.4;3243016.61
1591807593194;37.8;57.9;201113600;77.4;1990576.4
1591807595006;32.3;52.4;211189760;77.5;36192578.8
1591807596796;35.55;58.8;199720960;77.4;1121724.63
1591807598607;37.725;54.9;201633792;77.5;26847574.37
1591807600352;34.475;52.0;201809920;77.5;57194685.09
1591807602171;33.475;52.7;202903552;77.3;1592707.55
1591807603975;36.65;55.9;203243520;77.5;38719071.79
1591807605876;29.3;48.3;208101376;77.4;22741243.8
1591807607671;33.075;52.4;206102528;77.4;4004759.06
1591807609431;37.6;53.8;206426112;77.4;30117767.43
1591807611362;33.175;49.6;206917632;77.3;14214043.43
1591807613234;34.475;52.0;207974400;77.4;4216663.72
1591807615189;37.375;60.3;208236544;77.5;10992206.82
1591807616983;33.95;62.5;209002496;78.0;45550085.97
1591807618826;34.2;56.1;213164032;78.1;1296424.14
1591807620679;37.3;61.7;222191616;78.2;9078282.11
1591807622573;37.375;57.4;207699968;77.9;38284315.43
1591807624364;31.0;47.6;209309696;78.0;39660195.25
1591807626291;36.075;64.0;209793024;76.7;1658219.2
1591807628067;37.2;54.5;210317312;76.8;1442532.6
1591807629808;35.1;52.8;211034112;76.9;16522129.28
1591807631550;34.9;53.2;201129984;76.8;2454861.04
1591807633293;33.25;56.6;203001856;76.8;26200498.91
1591807635069;32.0;50.3;203997184;76.8;1203985.61
1591807637058;37.075;57.4;204627968;77.0;1590344.41
1591807639026;31.1;49.0;204906496;76.9;17783592.99
1591807640808;37.325;51.6;206393344;77.1;6761211.9
1591807642746;39.675;58.5;199036928;77.1;4832477.08
1591807644498;33.675;50.0;199503872;77.1;24826286.34
1591807646345;32.375;51.1;199667712;77.1;26058445.96
1591807648159;36.0;59.9;199757824;77.1;15928171.28
1591807649959;30.775;48.6;199782400;77.2;25984619.46
1591807651741;30.0;50.5;200962048;77.0;13454574.64
1591807653744;37.275;57.1;209084416;77.1;6025232.89
1591807655651;37.1;54.5;218255360;77.2;4827750.87
1591807657590;31.35;50.9;226344960;77.3;27891660.87
1591807659517;36.275;54.0;208916480;77.1;8114314.69
1591807661267;36.5;53.0;211144704;77.2;25210520.68
1591807663080;32.2;51.3;211349504;77.2;24946026.19
1591807664937;36.225;57.3;211578880;77.4;34443442.5
