time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593256947084;38.975;87.3;210350080;62.3;24066574.37
1593256948990;38.725;88.8;212094976;61.8;29029506.68
1593256950886;35.125;75.6;212393984;61.9;1867798.6
1593256952834;39.0;79.4;213475328;62.1;9850049.99
1593256954721;39.675;78.9;214855680;62.2;26629481.5
1593256956641;38.4;76.9;216473600;62.2;2574035.61
1593256958584;38.1;81.4;217513984;62.2;18981675.92
1593256960533;38.0;75.6;193007616;62.1;19706199.84
1593256962422;37.4;77.0;193626112;62.2;1338965.14
1593256964320;41.75;82.7;195211264;62.5;14870090.65
1593256966109;33.475;73.0;195305472;62.6;31333482.59
1593256968009;36.975;76.3;195936256;62.7;12686359.89
1593256969944;34.675;76.7;197591040;62.8;4600129.13
1593256971836;44.825;84.6;186036224;62.8;27937624.1
1593256973677;33.475;78.6;187269120;62.0;1697042.59
1593256975602;43.1;83.7;187236352;62.1;2813081.99
1593256977507;40.975;84.0;187789312;62.4;34215018.07
1593256979410;32.175;73.5;188968960;62.4;13527103.58
1593256981303;40.7;79.6;190124032;62.6;27586043.06
1593256983389;37.7;75.4;187035648;62.6;19513017.05
1593256985263;37.3;78.2;187183104;62.8;3031762.64
1593256987170;40.55;81.6;187404288;63.0;1780121.54
1593256989074;39.05;80.9;189378560;63.2;41822843.31
1593256991029;32.15;72.2;191492096;63.2;1322420.32
1593256992920;42.15;80.6;181563392;63.3;2291612.54
1593256995112;36.425;83.8;182992896;63.9;11385856.34
1593256997159;33.2;77.9;184401920;63.7;1695354.24
1593256999029;40.2;81.7;185475072;63.8;1347389.03
1593257000951;42.675;82.7;179724288;63.9;2191778.19
1593257003161;33.875;74.4;180011008;63.8;1039843.91
1593257005059;42.75;83.2;181436416;64.1;8588917.26
1593257006811;38.075;78.5;182136832;64.1;6434287.91
1593257008727;35.875;74.7;186761216;64.2;21736270.47
1593257010641;39.025;80.0;182706176;64.3;3397022.37
1593257012714;39.375;77.2;182329344;64.4;1155518.61
1593257014606;40.3;81.1;183517184;64.6;1812566.72
1593257016520;43.075;85.1;186179584;65.0;43267243.61
1593257018472;33.6;74.3;187379712;64.9;2082114.3
1593257020386;38.5;81.7;190009344;65.3;6227516.11
1593257022221;38.375;76.4;185135104;65.3;26866722.89
1593257024146;38.2;79.1;184639488;65.4;1876307.71
1593257026088;42.125;82.5;186261504;65.5;6840193.48
1593257027993;40.375;80.0;188407808;65.6;35318705.33
1593257029865;35.2;74.1;188506112;65.5;6312932.79
1593257031807;38.9;79.0;181510144;65.6;30055009.86
1593257033725;40.25;82.2;182616064;65.5;15309047.53
1593257035852;34.2;72.9;184356864;65.4;7443618.07
1593257037733;38.825;80.8;183963648;65.6;5077236.8
1593257039698;38.2;79.5;181178368;65.7;3039291.27
1593257041865;32.9;72.2;181112832;65.9;16117064.66
1593257043797;44.15;84.6;180293632;65.9;24313151.82
1593257045746;39.725;76.7;180592640;66.0;14581050.66
1593257047767;37.5;77.5;183431168;66.0;12145123.57
1593257049708;39.1;81.2;190447616;66.3;1370204.9
1593257051638;40.125;80.8;184668160;66.1;1865564.2
1593257053675;39.8;78.2;185733120;66.4;1297415.99
1593257055602;39.85;83.2;185495552;66.6;65300697.04
1593257057505;34.425;75.4;185925632;66.5;8698817.52
1593257059434;37.6;77.8;188166144;66.4;18581209.47
1593257061374;37.4;77.6;181563392;66.5;33664224.92
1593257063292;40.175;79.6;183013376;66.6;1052740.32
1593257065185;38.0;78.4;183029760;66.6;1811938.52
1593257067104;42.3;82.8;183861248;66.9;38112032.29
1593257069093;33.8;70.7;185311232;66.7;20834345.52
1593257070998;39.525;79.8;185298944;66.8;9447146.99
1593257072901;41.95;83.2;185507840;67.1;5240051.08
1593257074953;37.675;77.2;185774080;67.0;32094040.61
1593257076862;38.725;78.5;184664064;67.0;1068836.35
1593257078821;43.6;84.3;181194752;67.0;1773519.07
1593257080938;35.65;75.6;182300672;67.1;1056856.99
1593257082818;41.45;80.8;181690368;67.4;25859834.52
1593257084737;35.375;76.6;176308224;67.3;7224403.47
1593257086633;38.825;81.7;177246208;67.5;1667313.03
1593257088601;37.325;78.4;177569792;67.6;33052041.9
1593257090517;36.175;74.0;176803840;67.6;1085785.06
1593257092463;40.1;80.1;178429952;67.8;1946203.77
1593257094388;40.95;84.1;180019200;68.0;1311005.8
1593257096337;37.9;79.3;180166656;68.2;7906946.14
1593257098504;37.6;73.4;180269056;68.1;35982316.19
1593257100409;34.425;74.6;180400128;68.3;21943228.34
1593257102386;37.3;79.5;186126336;68.4;3866377.51
1593257104268;38.85;79.2;181837824;68.6;1805604.04
1593257106196;35.775;79.6;181309440;68.6;70619446.24
1593257108121;32.725;74.4;181858304;68.3;1048505.23
1593257110024;39.35;80.4;184274944;68.5;9309237.86
1593257111890;37.925;78.8;185069568;68.6;35617932.74
1593257113800;32.975;73.7;189161472;68.7;11492579.49
1593257115713;42.025;81.5;195710976;69.0;1476447.3
1593257117533;39.95;80.0;204144640;69.3;30727674.63
1593257119454;37.4;78.6;210251776;69.4;1761439.66
1593257121375;42.475;83.3;190894080;69.4;17401025.25
1593257123352;36.325;73.9;191447040;69.5;19008190.09
1593257125269;36.575;76.8;192307200;69.5;28258458.25
1593257127200;35.375;80.1;192917504;69.8;1068709.52
1593257129098;40.775;83.8;194174976;70.1;3430206.83
1593257130986;36.575;79.0;195411968;70.0;1655341.52
1593257132906;41.05;86.1;197165056;70.3;17752345.93
1593257134807;39.65;82.6;203358208;70.6;3045423.64
1593257136963;34.775;72.5;211333120;70.6;1151967.45
1593257138860;39.975;81.6;218198016;70.9;30753660.15
1593257140788;31.5;75.2;224653312;71.0;1319110.66
1593257142697;42.025;82.6;231788544;71.3;1552087.52
1593257144597;37.7;81.3;239165440;71.4;19361023.92
1593257146522;41.675;81.4;247148544;71.6;3588831.71
1593257148335;35.775;80.3;254267392;71.8;14750626.32
1593257150266;40.525;81.3;261349376;72.0;1077538.83
1593257152203;39.9;81.8;269082624;72.3;14281149.13
1593257153984;36.85;75.1;274591744;72.2;7060876.72
1593257155890;39.55;83.4;283299840;72.5;1039899.41
1593257157782;41.325;82.8;290422784;72.6;2512005.75
1593257159842;39.4;78.0;298115072;73.0;1322293.17
1593257161802;38.375;81.9;305586176;73.2;28768241.28
1593257163729;34.975;75.4;312299520;73.2;6565075.29
1593257165703;37.975;80.2;320163840;73.4;2674969.67
1593257167762;37.975;77.0;230674432;72.3;34062048.17
1593257169686;36.5;79.0;230244352;72.4;12020760.93
1593257171571;35.625;80.4;230916096;72.5;2036246.6
1593257173432;39.275;83.5;231030784;72.7;43424047.68
1593257175403;31.95;72.2;232603648;72.7;8738870.27
1593257177247;36.75;81.2;234106880;72.8;12176295.09
1593257179183;35.375;85.7;235728896;73.1;7773778.39
1593257181334;31.7;74.9;236982272;73.4;2286564.03
1593257183795;32.425;88.9;200544256;72.6;24264657.57
1593257185689;37.0;81.7;199786496;72.7;4755824.1
1593257187768;37.775;76.1;201334784;72.7;3032073.03
1593257189728;36.4;77.9;203051008;72.8;34620009.53
1593257191616;36.775;75.7;204156928;72.8;1508815.81
1593257193514;38.125;83.0;183517184;72.7;1665928.05
1593257195420;42.0;83.0;184913920;72.8;20772313.98
1593257197549;34.2;72.1;185409536;72.7;1726788.3
1593257199419;37.3;83.0;186728448;72.9;1036219.82
1593257201412;41.55;85.4;179576832;73.1;7163157.27
1593257203503;37.125;75.5;179744768;73.0;1130652.93
1593257205428;38.4;81.5;180797440;73.2;23949554.42
1593257207369;41.35;84.3;181141504;73.4;5377032.82
1593257209484;38.775;77.0;181678080;73.3;1405939.4
1593257211374;41.925;83.2;181948416;73.5;16919997.68
1593257213306;38.0;77.6;182247424;73.7;15699487.61
1593257215172;33.125;76.8;182398976;73.8;1603772.43
1593257217136;39.4;83.3;178868224;73.9;1298840.36
1593257219048;41.45;84.0;180076544;74.2;3406267.04
1593257220938;40.1;80.0;180514816;74.1;1647833.06
1593257222872;45.95;87.8;180805632;74.3;21369842.09
1593257224779;38.95;78.3;178966528;74.4;7218103.37
1593257226600;35.35;75.1;180776960;74.4;2362393.38
1593257228561;39.875;84.2;180658176;74.5;32764921.06
1593257230459;38.825;79.3;182046720;74.3;2067611.52
1593257232429;38.875;80.2;182853632;74.4;16778564.53
1593257234373;38.0;82.1;188907520;74.6;9361069.61
1593257236384;41.2;84.3;184385536;74.5;6644702.27
1593257238197;34.275;79.9;184524800;74.3;1608326.6
1593257240108;39.225;80.8;184758272;74.4;45035561.36
1593257241996;33.125;73.3;184889344;74.4;1728780.52
1593257243941;39.8;85.2;186728448;74.6;3012020.74
1593257245965;42.25;82.9;184930304;74.8;30129468.76
1593257247900;34.675;73.3;185163776;74.8;8307140.74
1593257249814;39.625;84.5;186851328;74.9;1399628.27
1593257251714;37.175;80.6;188088320;75.2;15321996.53
1593257253581;36.45;76.0;188481536;75.2;19481878.51
1593257255568;40.35;78.4;183652352;75.3;11136506.99
1593257257487;37.6;82.3;184422400;75.2;4113431.45
1593257259623;37.4;76.9;184532992;75.4;9793916.02
1593257261549;37.0;79.6;185692160;75.7;26243905.7
1593257263460;36.075;77.6;181293056;75.6;4742044.61
1593257265358;37.925;81.2;180662272;75.6;2169916.69
1593257267313;38.4;83.1;183246848;75.9;47609707.79
1593257269243;35.975;76.9;183595008;75.9;8451408.28
1593257271161;39.825;82.2;186241024;76.0;11609353.08
1593257273145;38.6;82.0;183513088;76.2;41424194.29
1593257275054;34.825;73.8;181911552;76.1;1496564.95
1593257276959;39.15;81.8;184713216;76.5;1292472.49
1593257278934;42.05;86.4;185421824;76.8;9481501.4
1593257281078;33.325;72.4;187465728;76.8;1083496.02
1593257283075;38.075;80.2;184311808;77.0;17516872.48
1593257285001;41.05;84.2;182665216;77.1;2932999.97
1593257287127;35.475;76.5;183988224;77.2;9570272.4
1593257289074;38.525;83.1;185765888;77.4;34825052.1
1593257291195;32.725;76.4;180367360;77.7;3868816.08
1593257293143;31.8;82.3;180445184;77.2;1593480.23
1593257295015;38.325;81.0;182067200;77.4;33100097.35
1593257296900;32.7;70.9;182755328;77.3;16343357.95
1593257298810;37.475;77.8;181981184;77.3;4912755.72
1593257300729;39.05;80.7;182370304;77.5;34704502.11
