timestamp(ms);elapse-time(ms);tx-load
67955;812;11
68065;912;14
68162;919;13
68264;940;14
68363;959;16
68373;217;8
68478;913;17
68559;612;14
68709;1233;16
68796;538;10
68879;522;11
68961;595;12
69063;593;13
69160;606;14
69244;613;13
69252;192;10
69343;553;11
69424;550;11
69618;914;11
69719;566;8
69815;577;10
69914;667;11
70009;672;10
70276;857;15
70357;857;14
70366;365;9
70463;752;13
70549;739;14
70722;1115;17
70811;540;10
70907;557;11
70992;631;12
71080;625;13
71180;637;14
71281;649;14
71292;218;10
71405;601;12
71509;608;12
71693;978;12
71798;623;11
71884;609;11
71959;673;12
72035;637;11
72119;617;10
72212;611;11
72222;192;9
72303;514;11
72593;715;8
72766;1080;13
72860;747;11
72970;763;11
73069;853;13
73186;888;14
73292;703;14
73387;707;14
73396;216;10
73476;623;14
73601;638;15
73770;1011;13
73897;613;11
73989;610;12
74093;703;13
74178;707;12
74264;669;12
74347;667;13
74357;185;9
74448;557;13
74580;597;7
74773;1010;14
74886;628;11
74984;642;12
75071;721;13
75159;717;14
75250;677;13
75332;654;14
75341;188;10
75432;554;14
75514;535;13
75678;910;12
75762;519;10
75867;540;11
75949;613;12
76028;602;11
76131;622;12
76249;653;14
76259;238;10
76357;599;12
76453;592;12
76635;962;14
76721;601;11
76802;559;12
76881;629;13
76962;611;13
77049;602;12
77129;586;13
77138;181;9
77241;526;13
77323;525;6
77478;848;12
77565;522;8
77661;539;10
77786;653;11
77894;659;12
77992;675;12
78092;695;12
78103;216;8
78207;648;11
78293;641;12
78449;977;10
78537;550;10
78688;605;10
78785;690;10
78877;676;10
78965;677;10
79055;683;10
79064;193;8
79487;955;11
79584;899;12
79768;1325;17
79848;891;14
79944;895;15
80030;970;17
80110;630;14
80195;618;15
80274;598;16
80283;177;12
80363;521;16
80448;509;15
80597;834;11
80676;487;7
80763;494;8
80865;587;11
80972;614;10
81216;775;12
81321;800;13
81333;367;8
81424;754;13
81520;764;15
81674;1083;16
81751;542;11
81831;515;11
81922;597;12
82012;593;12
82092;578;12
82184;591;12
82193;187;11
82278;532;13
82360;535;9
82682;1014;13
82803;717;12
82899;721;11
83003;816;13
83102;829;14
83207;853;16
83291;824;16
83300;206;10
83382;587;15
83465;575;15
83615;941;13
83700;498;10
83788;502;11
83868;573;12
83955;578;13
84050;591;12
84128;588;13
84136;187;9
84221;526;11
84333;551;6
84516;906;11
84608;563;8
84706;584;10
84793;662;11
85055;840;14
85147;823;15
85237;812;13
85246;198;8
85338;736;13
85427;726;13
85585;1077;14
85669;530;10
85753;521;10
85840;599;12
85957;624;13
86062;641;15
86164;658;14
86176;226;10
86276;613;11
86369;622;13
86522;942;13
86602;545;10
86679;523;11
86803;634;13
86890;621;12
86980;619;13
87063;616;13
87072;188;10
87164;568;11
87253;579;11
87414;897;12
87530;556;10
87635;576;11
87735;669;11
87835;677;10
87942;696;11
88033;701;12
88042;214;10
88163;640;11
88249;621;10
88620;1211;16
88704;770;12
88793;766;12
88875;840;12
88962;805;13
89058;815;14
89180;857;16
89192;235;10
89295;596;14
89391;606;16
89575;960;13
89660;608;12
89739;567;12
89829;645;13
89909;622;12
89990;605;12
90072;599;12
90081;178;10
90173;516;12
90256;522;13
90407;837;11
90599;614;10
90714;647;11
90825;749;12
90918;751;13
91017;766;15
91114;785;16
91123;211;10
91227;634;14
91303;599;14
91449;1048;14
91526;516;11
91612;506;12
91685;568;12
91762;541;13
91845;547;13
91919;548;12
91927;170;10
92003;482;12
92076;470;10
92295;852;12
92447;607;11
92551;637;10
92655;733;12
92754;756;13
92850;779;14
92932;783;15
92941;193;10
93027;588;14
93118;573;12
93279;1026;12
93361;516;8
93440;513;10
93603;667;12
93692;671;11
93786;674;12
93882;681;11
93889;205;7
94019;664;12
94124;689;8
94316;1042;13
94427;647;12
94507;632;12
94584;698;13
94665;654;13
94751;633;12
94832;608;11
94842;182;9
94971;549;11
95060;558;4
